date,store_id,region,day_of_week,total_sales,nb_customers
2020-06-04,57840,California,3,3141.55,184
2020-06-05,57840,California,4,3573.28,210
2020-06-06,57840,California,5,4539.54,267
2020-06-07,57840,California,6,3593.84,211
2020-06-01,99093,New York,0,674.52,39
2020-06-02,99093,New York,1,777.31,45
2020-06-03,99093,New York,2,1044.57,61
2020-06-04,99093,New York,3,1188.48,69
2020-06-05,99093,New York,4,1558.54,91
2020-06-06,99093,New York,5,2401.44,141
2020-06-07,99093,New York,6,1435.19,84
2020-06-01,92097,California,0,2915.41,171
2020-06-02,92097,California,1,2812.61,165
2020-06-03,92097,California,2,3038.76,178
2020-06-04,92097,California,3,3100.43,182
2020-06-05,92097,California,4,3429.37,201
2020-06-06,92097,California,5,4642.33,273
2020-06-07,92097,California,6,3449.93,202
2020-06-01,64014,New York,0,715.63,42
2020-06-02,64014,New York,1,777.31,45
2020-06-03,64014,New York,2,900.66,52
2020-06-04,64014,New York,3,1065.13,62
2020-06-05,64014,New York,4,1435.19,84
2020-06-06,64014,New York,5,2401.44,141
2020-06-07,64014,New York,6,1455.74,85
2020-06-01,21095,California,0,2915.41,171
2020-06-02,21095,California,1,2956.52,173
2020-06-03,21095,California,2,2977.08,175
2020-06-04,21095,California,3,3162.11,186
2020-06-05,21095,California,4,3470.49,204
2020-06-06,21095,California,5,4518.98,265
2020-06-07,21095,California,6,3573.28,210
2020-06-01,95856,New York,0,880.1,51
2020-06-02,95856,New York,1,797.87,46
2020-06-03,95856,New York,2,1044.57,61
2020-06-04,95856,New York,3,1024.01,60
2020-06-05,95856,New York,4,1455.74,85
2020-06-06,95856,New York,5,2565.91,150
2020-06-07,95856,New York,6,1537.98,90
2020-06-01,75193,California,0,2730.38,160
2020-06-02,75193,California,1,2833.17,166
2020-06-03,75193,California,2,3100.43,182
2020-06-04,75193,California,3,3244.34,190
2020-06-05,75193,California,4,3593.84,211
2020-06-06,75193,California,5,4518.98,265
2020-06-07,75193,California,6,3429.37,201
